date,time,lat,lon,ele
2022-03-24,11:59:03.000,50.5851373,-2.0330429,32
2022-03-24,11:59:08.000,50.5851299,-2.0329694,32
2022-03-24,11:59:13.000,50.5851326,-2.0328868,32
2022-03-24,11:59:18.000,50.5851357,-2.0328047,32
2022-03-24,11:59:23.000,50.5851404,-2.0327189,32
2022-03-24,11:59:28.000,50.5851481,-2.0326344,32
2022-03-24,11:59:33.000,50.5851630,-2.0325518,32
2022-03-24,11:59:38.000,50.5851875,-2.0324748,32
2022-03-24,11:59:43.000,50.5852134,-2.0323936,31
2022-03-24,11:59:48.000,50.5852428,-2.0323173,31
2022-03-24,11:59:53.000,50.5852748,-2.0322407,31
2022-03-24,11:59:58.000,50.5853080,-2.0321719,31
2022-03-24,12:00:03.000,50.5853425,-2.0321003,32
2022-03-24,12:00:08.000,50.5853745,-2.0320196,31
2022-03-24,12:00:13.000,50.5854096,-2.0319463,31
2022-03-24,12:00:18.000,50.5854390,-2.0318733,31
2022-03-24,12:00:23.000,50.5854648,-2.0317959,31
2022-03-24,12:00:28.000,50.5854972,-2.0317161,31
2022-03-24,12:00:33.000,50.5855288,-2.0316371,30
2022-03-24,12:00:38.000,50.5855598,-2.0315577,30
2022-03-24,12:00:43.000,50.5855911,-2.0314801,30
2022-03-24,12:00:48.000,50.5856240,-2.0314069,30
2022-03-24,12:00:53.000,50.5856619,-2.0313403,30
2022-03-24,12:00:58.000,50.5856781,-2.0312976,30
2022-03-24,12:01:11.000,50.5856968,-2.0312475,30
2022-03-24,12:01:16.000,50.5857354,-2.0312251,30
2022-03-24,12:01:21.000,50.5857875,-2.0311810,30
2022-03-24,12:01:26.000,50.5858389,-2.0311344,30
2022-03-24,12:01:31.000,50.5858836,-2.0310764,30
2022-03-24,12:01:36.000,50.5859274,-2.0310179,30
2022-03-24,12:01:41.000,50.5859782,-2.0309613,31
2022-03-24,12:01:46.000,50.5860340,-2.0309013,31
2022-03-24,12:01:51.000,50.5860876,-2.0308475,31
